,benchmark_value,cash,date,execution_loss,long_exposure,pnl,portfolio_value,positions,short_exposure
333,96311.0,100000,2016-09-05 15:02:26.879690,-31,306660,-6021,406660,"{u'A': 8, u'B': 12}",0
334,96409.0,100000,2016-09-05 15:30:10.379430,-30,330531,-6289,430531,"{u'A': 9, u'B': 12}",0
335,96318.0,100000,2016-09-05 15:57:54.880000,-31,320409,-5990,420409,"{u'A': 9, u'B': 11}",0
336,96397.0,100000,2016-09-05 16:31:46.229560,-33,314722,-6227,414722,"{u'A': 10, u'B': 8}",0
337,96418.0,100000,2016-09-05 17:08:01.224790,-33,324618,-6266,424618,"{u'A': 10, u'B': 9}",0
338,96378.0,100000,2016-09-05 17:35:30.220860,-34,285130,-6112,385130,"{u'A': 10, u'B': 5}",0
339,96449.0,100000,2016-09-05 18:03:51.720110,-35,208622,-6318,308622,"{u'A': 8, u'B': 2}",0
340,96536.0,100000,2016-09-05 19:28:09.129370,-33,198880,-6429,298880,"{u'A': 8, u'B': 1}",0
341,96498.0,100000,2016-09-05 20:29:05.730520,-29,165333,-6337,255481,"{u'A': 7, u'B': -1}",-9852
342,96541.0,100000,2016-09-05 22:20:01.769370,-29,141768,-6375,202340,"{u'A': 6, u'B': -4}",-39428
343,96416.0,100000,2016-09-05 23:54:07.581250,-29,165151,-6186,245459,"{u'A': 7, u'B': -2}",-19692
344,96350.0,100000,2016-09-06 01:12:14.321050,-29,282960,-6064,343608,"{u'A': 12, u'B': -4}",-39352
345,96489.0,100000,2016-09-06 11:24:00.714010,-42,212508,-6325,273096,"{u'A': 9, u'B': -4}",-39412
346,96699.0,100000,2016-09-06 11:43:34.001650,-43,189296,-6636,230046,"{u'A': 8, u'B': -6}",-59250
347,96115.0,100000,2016-09-06 12:01:37.109840,-41,211725,-5851,262660,"{u'A': 9, u'B': -5}",-49065
348,96561.0,100000,2016-09-06 12:21:01.806310,-41,212607,-6457,273155,"{u'A': 9, u'B': -4}",-39452
349,96553.0,100000,2016-09-06 12:43:04.307700,-46,188952,-6469,259363,"{u'A': 8, u'B': -3}",-29589
350,96608.0,100000,2016-09-06 13:04:50.298860,-49,212706,-6562,292970,"{u'A': 9, u'B': -2}",-19736
351,96851.0,100000,2016-09-06 13:27:38.751290,-47,189464,-6956,279567,"{u'A': 8, u'B': -1}",-9897
352,96764.0,100000,2016-09-06 13:56:27.758330,-45,165599,-6770,255709,"{u'A': 7, u'B': -1}",-9890
353,96780.0,100000,2016-09-06 15:30:00.051990,-46,165655,-6832,265655,"{u'A': 7, u'B': 0}",0
354,96934.0,100000,2016-09-06 15:51:27.061370,-45,165844,-7092,265844,"{u'A': 7, u'B': 0}",0
355,96890.0,100000,2016-09-06 16:16:29.016310,-45,242877,-7035,342877,"{u'A': 9, u'B': 3}",0
356,97002.0,100000,2016-09-06 16:50:12.356000,-43,171990,-7206,271990,"{u'A': 6, u'B': 3}",0
357,96959.0,100000,2016-09-06 17:23:05.965320,-46,215494,-7185,315494,"{u'A': 7, u'B': 5}",0
358,97058.0,100000,2016-09-06 17:54:29.648300,-44,279090,-7439,379090,"{u'A': 8, u'B': 9}",0
359,96859.0,100000,2016-09-06 18:23:37.205620,-46,231207,-6984,331207,"{u'A': 6, u'B': 9}",0
360,96941.0,100000,2016-09-06 20:20:45.015540,-46,255118,-7170,355118,"{u'A': 7, u'B': 9}",0
361,96941.0,100000,2016-09-06 22:12:24.754630,-46,274924,-7168,374924,"{u'A': 7, u'B': 11}",0
362,97045.0,100000,2016-09-06 23:32:16.484010,-49,298945,-7480,398945,"{u'A': 8, u'B': 11}",0
363,96794.0,100000,2016-09-07 00:07:54.395830,-50,270606,-6725,370606,"{u'A': 6, u'B': 13}",0
364,96777.0,100000,2016-09-07 00:38:42.752580,-56,227112,-6651,327112,"{u'A': 5, u'B': 11}",0
365,96768.0,100000,2016-09-07 01:21:22.162240,-59,270536,-6639,370536,"{u'A': 6, u'B': 13}",0
366,96916.0,100000,2016-09-07 11:22:29.468760,-55,342034,-7033,442034,"{u'A': 9, u'B': 13}",0
367,97146.0,100000,2016-09-07 11:43:16.480290,-53,338894,-7782,438894,"{u'A': 8, u'B': 15}",0
368,97278.0,100000,2016-09-07 12:02:42.960830,-55,311762,-8188,411762,"{u'A': 6, u'B': 17}",0
369,97370.0,100000,2016-09-07 12:24:03.166890,-55,322062,-8480,422062,"{u'A': 6, u'B': 18}",0
370,97355.0,100000,2016-09-07 12:48:41.490740,-60,480546,-8397,580546,"{u'A': 11, u'B': 22}",0
371,97470.0,100000,2016-09-07 13:16:32.451880,-59,461085,-8907,561085,"{u'A': 11, u'B': 20}",0
372,97238.0,100000,2016-09-07 13:44:21.502380,-57,460034,-7833,560034,"{u'A': 11, u'B': 20}",0
373,97130.0,100000,2016-09-07 15:08:07.046550,-57,459575,-7351,559575,"{u'A': 11, u'B': 20}",0
374,97333.0,100000,2016-09-07 15:35:37.499990,-56,464226,-8257,564226,"{u'A': 12, u'B': 18}",0
375,97405.0,100000,2016-09-07 16:02:35.453270,-57,450804,-8552,550804,"{u'A': 11, u'B': 19}",0
376,97240.0,100000,2016-09-07 16:34:10.604180,-57,544818,-7837,644818,"{u'A': 15, u'B': 19}",0
377,97225.0,100000,2016-09-07 17:09:42.845890,-56,635913,-7869,735913,"{u'A': 18, u'B': 21}",0
378,97096.0,100000,2016-09-07 17:40:33.448270,-57,597704,-7084,697704,"{u'A': 16, u'B': 22}",0
379,97173.0,100000,2016-09-07 18:11:09.145390,-58,645546,-7520,745546,"{u'A': 18, u'B': 22}",0
380,97119.0,100000,2016-09-07 19:45:59.099290,-59,587883,-7150,687883,"{u'A': 16, u'B': 21}",0
381,97112.0,100000,2016-09-07 21:34:02.563770,-61,611570,-7132,711570,"{u'A': 17, u'B': 21}",0
382,97143.0,100000,2016-09-07 23:11:27.168750,-63,564348,-7284,664348,"{u'A': 15, u'B': 21}",0
383,97173.0,100000,2016-09-08 00:02:23.004280,-64,534675,-7473,634675,"{u'A': 15, u'B': 18}",0
384,97129.0,100000,2016-09-08 00:46:01.006350,-67,497027,-7268,597027,"{u'A': 13, u'B': 19}",0
385,97100.0,100000,2016-09-08 01:32:03.508700,-69,520532,-7083,620532,"{u'A': 14, u'B': 19}",0
386,97102.0,100000,2016-09-08 11:30:27.235690,-68,463212,-7077,563212,"{u'A': 12, u'B': 18}",0
387,97330.0,100000,2016-09-08 11:49:52.217930,-66,454240,-8139,554240,"{u'A': 12, u'B': 17}",0
388,97258.0,100000,2016-09-08 12:13:02.769740,-71,453938,-7845,553938,"{u'A': 12, u'B': 17}",0
389,97300.0,100000,2016-09-08 12:37:47.241280,-72,349312,-8012,449312,"{u'A': 8, u'B': 16}",0
390,97484.0,100000,2016-09-08 13:00:46.237790,-74,346188,-8706,446188,"{u'A': 7, u'B': 18}",0
391,97418.0,100000,2016-09-08 13:28:33.188390,-74,379694,-8458,479694,"{u'A': 8, u'B': 19}",0
392,97425.0,100000,2016-09-08 15:03:18.246330,-75,369738,-8479,469738,"{u'A': 8, u'B': 18}",0
393,97655.0,100000,2016-09-08 15:34:58.752000,-75,309196,-9319,409196,"{u'A': 5, u'B': 19}",0
394,97682.0,100000,2016-09-08 15:57:56.210950,-73,197802,-9443,297802,"{u'A': 2, u'B': 15}",0
395,97567.0,100000,2016-09-08 16:29:57.232560,-71,238921,-9164,338921,"{u'A': 5, u'B': 12}",0
396,97669.0,100000,2016-09-08 17:04:51.333590,-69,229168,-9409,329168,"{u'A': 5, u'B': 11}",0
397,97754.0,100000,2016-09-08 17:31:39.392650,-70,229370,-9604,329370,"{u'A': 5, u'B': 11}",0
398,97760.0,100000,2016-09-08 18:01:19.492180,-66,127760,-9571,227760,"{u'A': 2, u'B': 8}",0
399,97687.0,100000,2016-09-08 19:16:57.847050,-68,187588,-9436,287588,"{u'A': 2, u'B': 14}",0
400,97802.0,100000,2016-09-08 20:38:24.587840,-66,201714,-9672,301714,"{u'A': 3, u'B': 13}",0
401,97727.0,100000,2016-09-08 22:00:12.351790,-65,201563,-9516,301563,"{u'A': 3, u'B': 13}",0
402,97715.0,100000,2016-09-08 22:49:39.857880,-60,201534,-9469,301534,"{u'A': 3, u'B': 13}",0
403,97549.0,100000,2016-09-08 23:16:44.658590,-62,109725,-9192,185888,"{u'A': -1, u'B': 11}",-23837
404,97618.0,100000,2016-09-08 23:43:17.210400,-61,99840,-9253,152142,"{u'A': -2, u'B': 10}",-47698
405,97549.0,100000,2016-09-09 00:11:42.285570,-59,89793,-9237,118297,"{u'A': -3, u'B': 9}",-71496
406,97788.0,100000,2016-09-09 00:41:17.643700,-57,110066,-9385,162308,"{u'A': -2, u'B': 11}",-47758
407,98033.0,100000,2016-09-09 01:12:47.968710,-56,140490,-9769,240490,"{u'A': 0, u'B': 14}",0
408,97669.0,100000,2016-09-09 11:09:56.641510,-61,159760,-9030,235888,"{u'A': -1, u'B': 16}",-23872
409,98203.0,100000,2016-09-09 11:33:40.695240,-62,194841,-10274,294841,"{u'A': 1, u'B': 17}",0
410,98388.0,100000,2016-09-09 11:51:36.646150,-59,171394,-10770,223416,"{u'A': -2, u'B': 17}",-47978
411,98346.0,100000,2016-09-09 12:10:51.748870,-60,225538,-10717,325538,"{u'A': 1, u'B': 20}",0
412,98316.0,100000,2016-09-09 12:33:10.598560,-60,249336,-10527,349336,"{u'A': 2, u'B': 20}",0
413,98540.0,100000,2016-09-09 12:54:00.004210,-61,283998,-11094,383998,"{u'A': 3, u'B': 21}",0
414,98888.0,100000,2016-09-09 13:13:52.606160,-62,319336,-12253,419336,"{u'A': 4, u'B': 22}",0
415,98982.0,100000,2016-09-09 13:35:12.607820,-60,353862,-12532,453862,"{u'A': 5, u'B': 23}",0
416,98877.0,100000,2016-09-09 15:03:38.610200,-60,343361,-12150,443361,"{u'A': 5, u'B': 22}",0
417,99114.0,100000,2016-09-09 15:26:41.413770,-62,348082,-13021,448082,"{u'A': 6, u'B': 20}",0
418,99446.0,100000,2016-09-09 15:46:41.317960,-62,335094,-13972,435094,"{u'A': 5, u'B': 21}",0
419,99223.0,100000,2016-09-09 16:04:23.629520,-60,324160,-13172,424160,"{u'A': 5, u'B': 20}",0
420,98965.0,100000,2016-09-09 16:31:16.417240,-59,416094,-12203,516094,"{u'A': 8, u'B': 22}",0
